決算年度,業務コード,団体コード ,県名,団体名,団体区分,表番号,表名称,行番号,行名称,001:基準財政収入額（千円）,002:基準財政需要額（千円）,003:標準税収入額等（千円）,004:標準財政規模（千円）,005:臨時財政対策債発行可能額（千円）,006:財政力指数（3～5年度）
2023,62,10006,北海道,北海道,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,562080957,1212209283,702442846,1364505815,11753279,44355
2023,62,20001,青森県,青森県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,124206149,347080910,153324381,378359033,2253178,34193
2023,62,30007,岩手県,岩手県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,129946354,357709954,160496486,390645538,2391774,35095
2023,62,40002,宮城県,宮城県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,249591508,408687762,315341452,484916321,10478615,58832
2023,62,50008,秋田県,秋田県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,99046579,300051256,122288518,325377398,1794258,31178
2023,62,60003,山形県,山形県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,112720018,301758896,139021211,330114778,2054689,35801
2023,62,70009,福島県,福島県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,224731431,436733514,279221904,498570050,7193814,50548
2023,62,80004,茨城県,茨城県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,360941387,566361803,448959979,670201892,15815350,61671
2023,62,90000,栃木県,栃木県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,241589223,388516188,299912250,457322530,10483315,60422
2023,62,100005,群馬県,群馬県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,237801284,391829633,295351526,459270457,10156784,59000
2023,62,110001,埼玉県,埼玉県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,785801973,1053628492,974142781,1295347443,53378143,73078
2023,62,120006,千葉県,千葉県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,703186983,934823008,869856987,1147566348,46073336,73664
2023,62,130001,東京都,東京都,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,2567246985,2104103591,4232272381,4232272381,0,110065
2023,62,140007,神奈川県,神奈川県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,949213938,1101695318,1202565719,1414177145,58901252,83935
2023,62,150002,新潟県,新潟県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,228150127,489808434,285496007,552223066,5408981,44787
2023,62,160008,富山県,富山県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,129560741,275668516,160759718,309874046,3006553,44924
2023,62,170003,石川県,石川県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,138988915,277657470,172317675,316093206,3944141,47817
2023,62,180009,福井県,福井県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,98822220,238139892,123068353,264055575,1669550,39806
2023,62,190004,山梨県,山梨県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,100302480,245000587,124534553,270856606,1623946,37673
2023,62,200000,長野県,長野県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,243694168,458347887,301831043,523193843,6701397,50417
2023,62,210005,岐阜県,岐阜県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,230926788,427621492,285590934,490011911,7726616,52105
2023,62,220001,静岡県,静岡県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,416984869,606910778,524148200,737591268,23130626,66624
2023,62,230006,愛知県,愛知県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,1002381435,1127645510,1262150711,1440405836,54620562,86176
2023,62,240001,三重県,三重県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,222876848,387712066,276822580,450753939,9096141,55804
2023,62,250007,滋賀県,滋賀県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,169832459,306786126,210603582,352918448,5361199,52627
2023,62,260002,京都府,京都府,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,267431996,459919620,338488418,540357771,9560830,55567
2023,62,270008,大阪府,大阪府,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,1032481811,1367324088,1301769324,1707056365,66684204,73179
2023,62,280003,兵庫県,兵庫県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,590134275,949566465,736223809,1121332872,25674481,60301
2023,62,290009,奈良県,奈良県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,128291227,308695028,157293760,339864651,2240109,40150
2023,62,300004,和歌山県,和歌山県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,94039437,282825871,115827728,306373803,1759641,31491
2023,62,310000,鳥取県,鳥取県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,57282643,203911050,70630269,218367059,1108383,26812
2023,62,320005,島根県,島根県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,70297438,258881097,86529629,276422240,1298820,25491
2023,62,330001,岡山県,岡山県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,199666659,375597093,250654156,432540929,5950116,50576
2023,62,340006,広島県,広島県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,302319725,498139235,380178348,588217627,11820549,57915
2023,62,350001,山口県,山口県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,154502201,337125783,191608367,377054808,2813572,43070
2023,62,360007,徳島県,徳島県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,78922753,236680147,97766402,256922987,1405161,31489
2023,62,370002,香川県,香川県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,110246240,241052354,136621947,270112017,2686529,44329
2023,62,380008,愛媛県,愛媛県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,144919214,326664261,179562076,363639715,2329919,42050
2023,62,390003,高知県,高知県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,69643387,252745427,85484313,269981457,1323428,26140
2023,62,400009,福岡県,福岡県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,535604922,842981443,676159555,1007208352,23641999,61396
2023,62,410004,佐賀県,佐賀県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,88341779,245068692,109543485,267714418,1517477,34120
2023,62,420000,長崎県,長崎県,,1,令和5年度・地方財政状況調査表（都道府県分）,1,数値,124921532,359342411,153534363,390235323,2280081,33179
