決算年度,業務コード,団体コード ,県名,団体名,団体区分,表番号,表名称,行番号,行名称,001:令和5年度末現在高,002:令和6年度・歳出決算額,003:令和6年度・取崩し額,004:令和6年度・歳計剰余金処分によるもの,005:調整額,006:令和6年度末現在高,007:6列の管理状況・現金・預金,008:6列の管理状況・信託,009:6列の管理状況・有価証券,010:6列の管理状況・有価証券・うち地方債,011:6列の管理状況・出資金,012:6列の管理状況・その他
2024,62,010006,北海道,北海道,,31,基金の状況・その1　積立基金現在高の状況,01,積立基金・財政調整基金,36347357,27941791,28967200,0,0,35321948,35321948,0,0,0,0,0
2024,62,020001,青森県,青森県,,31,基金の状況・その1　積立基金現在高の状況,01,積立基金・財政調整基金,17547085,1564271,1448126,2730574,2,20393806,20393806,0,0,0,0,0
2024,62,030007,岩手県,岩手県,,31,基金の状況・その1　積立基金現在高の状況,01,積立基金・財政調整基金,30999390,9751512,9794822,0,22988,30979068,0,0,2400000,100000,0,28579068
2024,62,040002,宮城県,宮城県,,31,基金の状況・その1　積立基金現在高の状況,01,積立基金・財政調整基金,20971403,882026,649341,0,0,21204088,21204088,0,0,0,0,0
2024,62,050008,秋田県,秋田県,,31,基金の状況・その1　積立基金現在高の状況,01,積立基金・財政調整基金,16929358,5185811,5237186,0,0,16877983,16877983,0,0,0,0,0
2024,62,060003,山形県,山形県,,31,基金の状況・その1　積立基金現在高の状況,01,積立基金・財政調整基金,26975673,3089986,12662405,0,0,17403254,17403254,0,0,0,0,0
2024,62,070009,福島県,福島県,,31,基金の状況・その1　積立基金現在高の状況,01,積立基金・財政調整基金,28151145,12588366,11342516,0,0,29396995,29396995,0,0,0,0,0
2024,62,080004,茨城県,茨城県,,31,基金の状況・その1　積立基金現在高の状況,01,積立基金・財政調整基金,68159718,24355523,18615305,0,0,73899936,73899936,0,0,0,0,0
2024,62,090000,栃木県,栃木県,,31,基金の状況・その1　積立基金現在高の状況,01,積立基金・財政調整基金,37613863,6075050,14151691,0,0,29537222,29537222,0,0,0,0,0
2024,62,100005,群馬県,群馬県,,31,基金の状況・その1　積立基金現在高の状況,01,積立基金・財政調整基金,92038433,6083394,14838797,0,-1,83283029,83283029,0,0,0,0,0
2024,62,110001,埼玉県,埼玉県,,31,基金の状況・その1　積立基金現在高の状況,01,積立基金・財政調整基金,117854765,54234670,51717135,0,1,120372301,43287555,0,77084746,75756777,0,0
2024,62,120006,千葉県,千葉県,,31,基金の状況・その1　積立基金現在高の状況,01,積立基金・財政調整基金,98696560,5010922,0,0,0,103707482,103707482,0,0,0,0,0
2024,62,130001,東京都,東京都,,31,基金の状況・その1　積立基金現在高の状況,01,積立基金・財政調整基金,632240776,83533554,0,0,0,715774330,615659172,0,115158,0,0,100000000
2024,62,140007,神奈川県,神奈川県,,31,基金の状況・その1　積立基金現在高の状況,01,積立基金・財政調整基金,70891529,9806244,1074760,0,0,79623013,79623013,0,0,0,0,0
2024,62,150002,新潟県,新潟県,,31,基金の状況・その1　積立基金現在高の状況,01,積立基金・財政調整基金,51525116,22539635,20964760,0,0,53099991,53078588,0,21403,0,0,0
2024,62,160008,富山県,富山県,,31,基金の状況・その1　積立基金現在高の状況,01,積立基金・財政調整基金,2556494,1177883,0,0,0,3734377,3734377,0,0,0,0,0
2024,62,170003,石川県,石川県,,31,基金の状況・その1　積立基金現在高の状況,01,積立基金・財政調整基金,15463501,10056,0,1367825,0,16841382,16841382,0,0,0,0,0
2024,62,180009,福井県,福井県,,31,基金の状況・その1　積立基金現在高の状況,01,積立基金・財政調整基金,10427242,194745,0,0,0,10621987,10621987,0,0,0,0,0
2024,62,190004,山梨県,山梨県,,31,基金の状況・その1　積立基金現在高の状況,01,積立基金・財政調整基金,26239583,46163,0,0,0,26285746,18925746,0,7360000,0,0,0
2024,62,200000,長野県,長野県,,31,基金の状況・その1　積立基金現在高の状況,01,積立基金・財政調整基金,40489039,23319,0,4165000,0,44677358,44677358,0,0,0,0,0
2024,62,210005,岐阜県,岐阜県,,31,基金の状況・その1　積立基金現在高の状況,01,積立基金・財政調整基金,36137419,11821488,17450370,0,0,30508537,30508537,0,0,0,0,0
