決算年度,業務コード,団体コード ,県名,団体名,団体区分,表番号,表名称,行番号,行名称,001:基準財政収入額（千円）,002:基準財政需要額（千円）,003:標準税収入額等（千円）,004:標準財政規模（千円）,005:臨時財政対策債発行可能額（千円）,006:財政力指数（2～4年度）
2022,62,10006,北海道,北海道,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,547010029,1195954552,685364163,1358763320,24451737,44422
2022,62,20001,青森県,青森県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,123716984,346170092,153374038,381388392,5561246,34201
2022,62,30007,岩手県,岩手県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,128978917,354181507,159826027,391047741,6063263,35368
2022,62,40002,宮城県,宮城県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,240904827,395524617,305043020,477964354,18301544,59081
2022,62,50008,秋田県,秋田県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,96590463,299186721,119550258,326727631,4581115,30940
2022,62,60003,山形県,山形県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,111464147,299027885,137921585,330051143,5030453,35964
2022,62,70009,福島県,福島県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,222931227,425615663,277905990,495387012,14796586,51343
2022,62,80004,茨城県,茨城県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,343194567,544882632,427066210,658567038,29565155,62125
2022,62,90000,栃木県,栃木県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,233495565,375601458,290234956,451844183,19439313,61003
2022,62,100005,群馬県,群馬県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,229418675,378142581,285300098,452996546,18975767,59896
2022,62,110001,埼玉県,埼玉県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,761171226,1006615539,945488352,1269110350,78177685,73883
2022,62,120006,千葉県,千葉県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,677326552,889231507,839312107,1118595845,67378783,74500
2022,62,130001,東京都,東京都,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,2413371062,2084988112,4028123502,4028123502,0,106397
