決算年度,業務コード,団体コード ,県名,団体名,団体区分,表番号,表名称,行番号,行名称,001:歳入総額,002:歳出総額,003:歳入歳出差引,004:翌年度に繰り越すべき財源,005:実質収支,006:単年度収支,007:積立金,008:繰上償還金,009:積立金取崩し額,010:実質単年度収支
2023,62,10006,北海道,北海道,,2,決算収支の状況,1,令和5年度,2856219142,2819962872,36256270,7849615,28406655,838014,17722235,0,24223376,-5663127
2023,62,20001,青森県,青森県,,2,決算収支の状況,1,令和5年度,709754981,681161044,28593937,22694493,5899444,-1991166,1202294,0,3399238,-4188110
2023,62,30007,岩手県,岩手県,,2,決算収支の状況,1,令和5年度,809515999,756669461,52846538,33381838,19464700,-308569,9889373,2000000,8592855,2987949
2023,62,40002,宮城県,宮城県,,2,決算収支の状況,1,令和5年度,1024723861,1008373713,16350148,14587936,1762212,-11661964,6699545,98219,6498026,-11362226
2023,62,50008,秋田県,秋田県,,2,決算収支の状況,1,令和5年度,617448721,599529541,17919180,7703698,10215482,-4621938,7201356,0,4310688,-1731270
2023,62,60003,山形県,山形県,,2,決算収支の状況,1,令和5年度,676811593,664557243,12254350,6102479,6151871,-2055318,4104452,2830053,55126,4824061
2023,62,70009,福島県,福島県,,2,決算収支の状況,1,令和5年度,1257263227,1224298248,32964979,25263354,7701625,-945556,7761288,0,11918426,-5102694
2023,62,80004,茨城県,茨城県,,2,決算収支の状況,1,令和5年度,1259006243,1220658113,38348130,16877735,21470395,1473702,18683267,16707900,28160070,8704799
2023,62,90000,栃木県,栃木県,,2,決算収支の状況,1,令和5年度,931727812,912533087,19194725,9143354,10051371,-10973002,17404512,0,4230917,2200593
2023,62,100005,群馬県,群馬県,,2,決算収支の状況,1,令和5年度,904925531,886922117,18003414,7746701,10256713,-21393969,27450798,0,0,6056829
2023,62,110001,埼玉県,埼玉県,,2,決算収支の状況,1,令和5年度,2102354725,2059405178,42949547,7901765,35047782,-5961837,45250063,10000000,25355000,23933226
2023,62,120006,千葉県,千葉県,,2,決算収支の状況,1,令和5年度,2045562522,2011231816,34330706,19475839,14854867,-732074,3202164,34812,0,2504902
2023,62,130001,東京都,東京都,,2,決算収支の状況,1,令和5年度,8898726626,8353285707,545440919,259781199,285659720,-1066896,48753101,0,66276794,-18590589
2023,62,140007,神奈川県,神奈川県,,2,決算収支の状況,1,令和5年度,2251237949,2207423640,43814309,20876468,22937841,-3792639,4706940,0,439,913862
2023,62,150002,新潟県,新潟県,,2,決算収支の状況,1,令和5年度,1148075153,1122782289,25292864,12158844,13134020,-6150802,20206948,0,17500000,-3443854
2023,62,160008,富山県,富山県,,2,決算収支の状況,1,令和5年度,617351150,588990295,28360855,26983587,1377268,211573,180070,1597414,1064955,924102
2023,62,170003,石川県,石川県,,2,決算収支の状況,1,令和5年度,693732898,652501500,41231398,38495748,2735650,870290,8717656,0,7700000,1887946
2023,62,180009,福井県,福井県,,2,決算収支の状況,1,令和5年度,539080066,523817438,15262628,8553596,6709032,-2449667,1000458,0,0,-1449209
2023,62,190004,山梨県,山梨県,,2,決算収支の状況,1,令和5年度,573586922,544039848,29547074,23552725,5994349,-4130845,10185,3000000,0,-1120660
2023,62,200000,長野県,長野県,,2,決算収支の状況,1,令和5年度,1098347683,1079564340,18783343,10404222,8379121,-1618109,460,0,4600000,-6217649
2023,62,210005,岐阜県,岐阜県,,2,決算収支の状況,1,令和5年度,876508334,859178419,17329915,10040234,7289681,-2414397,3146369,13268,0,745240
2023,62,220001,静岡県,静岡県,,2,決算収支の状況,1,令和5年度,1269197338,1250356192,18841146,11501907,7339239,-8554179,2735,0,0,-8551444
2023,62,230006,愛知県,愛知県,,2,決算収支の状況,1,令和5年度,2620933437,2547795499,73137938,15475281,57662657,-7453558,98967,0,30400000,-37754591
2023,62,240001,三重県,三重県,,2,決算収支の状況,1,令和5年度,807571927,764500853,43071074,31892317,11178757,-7597717,9973163,0,21284752,-18909306
2023,62,250007,滋賀県,滋賀県,,2,決算収支の状況,1,令和5年度,620385624,611976612,8409012,7318187,1090825,41225,3064209,6587,0,3112021
2023,62,260002,京都府,京都府,,2,決算収支の状況,1,令和5年度,1042685775,1024886167,17799608,4616522,13183086,1086811,6048138,0,5548137,1586812
2023,62,270008,大阪府,大阪府,,2,決算収支の状況,1,令和5年度,3358436064,3325569052,32867012,17335515,15531497,-7876636,37992842,0,45354763,-15238557
