決算年度,業務コード,団体コード ,県名,団体名,団体区分,表番号,表名称,行番号,行名称,001:令和3年度末現在高,002:令和4年度・歳出決算額,003:令和4年度・取崩し額,004:令和4年度・歳計剰余金処分によるもの,005:調整額,006:令和4年度末現在高,007:6列の管理状況・現金・預金,008:6列の管理状況・信託,009:6列の管理状況・有価証券,010:6列の管理状況・有価証券・うち地方債,011:6列の管理状況・出資金,012:6列の管理状況・その他
2022,62,10006,北海道,北海道,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,40207122,24825151,22183775,0,0,42848498,42848498,0,0,0,0,0
2022,62,20001,青森県,青森県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,16377833,2322,4197572,3804716,0,15987299,15987299,0,0,0,0,0
2022,62,30007,岩手県,岩手県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,34650505,7808122,12757052,0,717,29702292,0,0,0,0,0,29702292
2022,62,40002,宮城県,宮城県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,19900756,13449570,12580442,0,0,20769884,20769884,0,0,0,0,0
2022,62,50008,秋田県,秋田県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,14990153,8182667,9134129,0,-1,14038690,14038690,0,0,0,0,0
2022,62,60003,山形県,山形県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,20390435,3118382,582470,0,0,22926347,22926347,0,0,0,0,0
2022,62,70009,福島県,福島県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,26450978,8460290,2602985,0,0,32308283,32308283,0,0,0,0,0
2022,62,80004,茨城県,茨城県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,40993447,36643074,0,0,0,77636521,77636521,0,0,0,0,0
2022,62,90000,栃木県,栃木県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,20386212,5617308,1563252,0,0,24440268,24440268,0,0,0,0,0
2022,62,100005,群馬県,群馬県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,50550363,17387569,3350297,0,0,64587635,64587635,0,0,0,0,0
2022,62,110001,埼玉県,埼玉県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,79352674,38704028,20097000,0,0,97959702,32589534,0,65370168,64309805,0,0
2022,62,120006,千葉県,千葉県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,91292453,4201943,0,0,0,95494396,95494396,0,0,0,0,0
2022,62,130001,東京都,東京都,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,727235681,204228788,281700000,0,0,649764469,549649312,0,115157,0,0,100000000
2022,62,140007,神奈川県,神奈川県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,191705471,4205106,54725549,0,-75000000,66185028,66185028,0,0,0,0,0
2022,62,150002,新潟県,新潟県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,51611476,12306692,15100000,0,0,48818168,48796766,0,21402,0,0,0
2022,62,160008,富山県,富山県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,3265939,175440,0,0,0,3441379,3441379,0,0,0,0,0
2022,62,170003,石川県,石川県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,12601802,130,0,911232,0,13513164,13513164,0,0,0,0,0
2022,62,180009,福井県,福井県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,8526623,900161,0,0,0,9426784,9426784,0,0,0,0,0
2022,62,190004,山梨県,山梨県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,26226652,2746,0,0,0,26229398,26229398,0,0,0,0,0
2022,62,200000,長野県,長野県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,40150191,388,2400000,2366000,0,40116579,40116579,0,0,0,0,0
