決算年度,業務コード,団体コード ,県名,団体名,団体区分,表番号,表名称,行番号,行名称,001:歳入総額,002:歳出総額,003:歳入歳出差引,004:翌年度に繰り越すべき財源,005:実質収支,006:単年度収支,007:積立金,008:繰上償還金,009:積立金取崩し額,010:実質単年度収支
2024,62,010006,北海道,北海道,,02,決算収支の状況,01,令和6年度,2825928611,2803025736,22902875,6470238,16432637,-11974018,27941791,0,28967200,-12999427
2024,62,020001,青森県,青森県,,02,決算収支の状況,01,令和6年度,721053199,691728176,29325023,24265295,5059728,-839716,1564271,0,1448126,-723571
2024,62,030007,岩手県,岩手県,,02,決算収支の状況,01,令和6年度,804926643,757986980,46939663,34790138,12149525,-7315175,9751512,2000000,9794822,-5358485
2024,62,040002,宮城県,宮城県,,02,決算収支の状況,01,令和6年度,1019172895,997507909,21664986,20076772,1588214,-173998,882026,19632,649341,78319
2024,62,050008,秋田県,秋田県,,02,決算収支の状況,01,令和6年度,633863121,616844972,17018149,6815372,10202777,-12705,5185811,2341451,5237186,2277371
2024,62,060003,山形県,山形県,,02,決算収支の状況,01,令和6年度,674209779,661550290,12659489,7335091,5324398,-827473,3089986,0,12662405,-10399892
2024,62,070009,福島県,福島県,,02,決算収支の状況,01,令和6年度,1191872923,1152505464,39367459,31555239,7812220,110595,12588366,0,11342516,1356445
2024,62,080004,茨城県,茨城県,,02,決算収支の状況,01,令和6年度,1257450634,1228516378,28934256,13372709,15561547,-5908848,24355523,8060350,18615305,7891720
2024,62,090000,栃木県,栃木県,,02,決算収支の状況,01,令和6年度,921925761,901765533,20160228,8163105,11997123,1945752,6075050,0,14151691,-6130889
2024,62,100005,群馬県,群馬県,,02,決算収支の状況,01,令和6年度,900241340,881483396,18757944,10805563,7952381,-2304332,6083394,0,14838797,-11059735
2024,62,110001,埼玉県,埼玉県,,02,決算収支の状況,01,令和6年度,2167885474,2116066737,51818737,4139962,47678775,12630993,54234670,10000000,51717135,25148528
2024,62,120006,千葉県,千葉県,,02,決算収支の状況,01,令和6年度,2127664500,2083355040,44309460,19781958,24527502,9672635,5010922,154468,0,14838025
2024,62,130001,東京都,東京都,,02,決算収支の状況,01,令和6年度,9533664698,8888808019,644856679,226657904,418198775,132539055,83533554,81831699,0,297904308
2024,62,140007,神奈川県,神奈川県,,02,決算収支の状況,01,令和6年度,2342944916,2291196569,51748347,30158435,21589912,-1347929,9806244,0,1074760,7383555
2024,62,150002,新潟県,新潟県,,02,決算収支の状況,01,令和6年度,1119989979,1094763378,25226601,11622791,13603810,469790,22539635,0,20964760,2044665
2024,62,160008,富山県,富山県,,02,決算収支の状況,01,令和6年度,618553650,589846555,28707095,27155440,1551655,174387,1177883,1734460,0,3086730
2024,62,170003,石川県,石川県,,02,決算収支の状況,01,令和6年度,1045970686,1012339392,33631294,31392924,2238370,-497280,10056,0,0,-487224
2024,62,180009,福井県,福井県,,02,決算収支の状況,01,令和6年度,522766299,511183883,11582416,7115770,4466646,-2242386,194745,0,0,-2047641
2024,62,190004,山梨県,山梨県,,02,決算収支の状況,01,令和6年度,568965159,545069002,23896157,18572376,5323781,-670568,46163,6000000,0,5375595
2024,62,200000,長野県,長野県,,02,決算収支の状況,01,令和6年度,1047872878,1027999156,19873722,13007730,6865992,-1513129,23319,0,0,-1489810
2024,62,210005,岐阜県,岐阜県,,02,決算収支の状況,01,令和6年度,897648092,881494964,16153128,9447290,6705838,-583843,11821488,8456,17450370,-6204269
2024,62,220001,静岡県,静岡県,,02,決算収支の状況,01,令和6年度,1311457126,1295659466,15797660,10658434,5139226,-2200013,11856,0,1548000,-3736157
2024,62,230006,愛知県,愛知県,,02,決算収支の状況,01,令和6年度,2865466535,2779462116,86004419,16898428,69105991,11443334,131346132,0,0,142789466
2024,62,240001,三重県,三重県,,02,決算収支の状況,01,令和6年度,811549999,774973766,36576233,26698829,9877404,-1301353,5244952,0,2861839,1081760
2024,62,250007,滋賀県,滋賀県,,02,決算収支の状況,01,令和6年度,629756938,621956154,7800784,6698804,1101980,11155,506496,11205,594313,-65457
2024,62,260002,京都府,京都府,,02,決算収支の状況,01,令和6年度,1047275458,1037555668,9719790,4534854,5184936,-7998150,6592132,0,5625741,-7031759
2024,62,270008,大阪府,大阪府,,02,決算収支の状況,01,令和6年度,3316968053,3279987111,36980942,16709808,20271134,4739637,66710342,0,59745000,11704979
2024,62,280003,兵庫県,兵庫県,,02,決算収支の状況,01,令和6年度,2426324829,2407333062,18991767,9596368,9395399,-4755176,9694054,0,15796000,-10857122
2024,62,290009,奈良県,奈良県,,02,決算収支の状況,01,令和6年度,575287133,567338923,7948210,4929671,3018539,-1852854,4510477,3924698,0,6582321
2024,62,300004,和歌山県,和歌山県,,02,決算収支の状況,01,令和6年度,662035723,644047629,17988094,8274209,9713885,-8802901,9014720,0,4126008,-3914189
2024,62,310000,鳥取県,鳥取県,,02,決算収支の状況,01,令和6年度,388615120,375323514,13291606,6811154,6480452,-2923695,6760,0,0,-2916935
2024,62,320005,島根県,島根県,,02,決算収支の状況,01,令和6年度,537598706,509639149,27959557,13945154,14014403,-3505179,567949,2078613,0,-858617
2024,62,330001,岡山県,岡山県,,02,決算収支の状況,01,令和6年度,742640366,733805981,8834385,7059039,1775346,-428813,17604644,0,9912639,7263192
2024,62,340006,広島県,広島県,,02,決算収支の状況,01,令和6年度,1094294344,1074265129,20029215,15310724,4718491,-748871,2503849,0,0,1754978
2024,62,350001,山口県,山口県,,02,決算収支の状況,01,令和6年度,726907529,702970202,23937327,11098461,12838866,-10901129,12812129,0,10700000,-8789000
2024,62,360007,徳島県,徳島県,,02,決算収支の状況,01,令和6年度,536935883,510835261,26100622,14563445,11537177,-3472510,7613122,0,8000000,-3859388
2024,62,370002,香川県,香川県,,02,決算収支の状況,01,令和6年度,491138881,471173633,19965248,11899693,8065555,958867,3482307,0,2993479,1447695
2024,62,380008,愛媛県,愛媛県,,02,決算収支の状況,01,令和6年度,770750165,746872509,23877656,18897497,4980159,-266933,2646794,0,3904208,-1524347
2024,62,390003,高知県,高知県,,02,決算収支の状況,01,令和6年度,477698137,467385536,10312601,6704232,3608369,884446,11233,0,0,895679
2024,62,400009,福岡県,福岡県,,02,決算収支の状況,01,令和6年度,2093699535,2032626014,61073521,48194242,12879279,1041976,24069625,0,9879647,15231954
2024,62,410004,佐賀県,佐賀県,,02,決算収支の状況,01,令和6年度,540929298,528311388,12617910,6510115,6107795,-3531410,4785259,16128,5100000,-3830023
2024,62,420000,長崎県,長崎県,,02,決算収支の状況,01,令和6年度,742790874,725525376,17265498,16128397,1137101,61229,555796,0,4000000,-3382975
2024,62,430005,熊本県,熊本県,,02,決算収支の状況,01,令和6年度,922220421,880334474,41885947,20223154,21662793,-9260198,9719,0,0,-9250479
2024,62,440001,大分県,大分県,,02,決算収支の状況,01,令和6年度,695462878,659810364,35652514,26512862,9139652,983288,2740790,0,4026423,-302345
2024,62,450006,宮崎県,宮崎県,,02,決算収支の状況,01,令和6年度,691666354,666648696,25017658,16112418,8905240,-4692012,6212363,0,4532011,-3011660
2024,62,460001,鹿児島県,鹿児島県,,02,決算収支の状況,01,令和6年度,895408514,855245218,40163296,27654671,12508625,-3885821,8200624,0,8172691,-3857888
2024,62,470007,沖縄県,沖縄県,,02,決算収支の状況,01,令和6年度,854451945,839088656,15363289,11267149,4096140,-342228,18794093,0,19194825,-742960
2024,62,合計(全国),,,,02,決算収支の状況,01,令和6年度,59793901981,57923212524,1870689457,946593914,924095543,70586493,632164626,118181160,389627238,431305041
決算年度,業務コード,団体コード ,県名,団体名,団体区分,表番号,表名称,行番号,行名称,001:歳入総額,002:歳出総額,003:歳入歳出差引,004:翌年度に繰り越すべき財源,005:実質収支,006:単年度収支,007:積立金,008:繰上償還金,009:積立金取崩し額,010:実質単年度収支
2024,62,010006,北海道,北海道,,02,決算収支の状況,02,令和5年度,2856219142,2819962872,36256270,7849615,28406655,838014,17722235,0,24223376,-5663127
2024,62,020001,青森県,青森県,,02,決算収支の状況,02,令和5年度,709754981,681161044,28593937,22694493,5899444,-1991166,1202294,0,3399238,-4188110
2024,62,030007,岩手県,岩手県,,02,決算収支の状況,02,令和5年度,809515999,756669461,52846538,33381838,19464700,-308569,9889373,2000000,8592855,2987949
2024,62,040002,宮城県,宮城県,,02,決算収支の状況,02,令和5年度,1024723861,1008373713,16350148,14587936,1762212,-11661964,6699545,98219,6498026,-11362226
2024,62,050008,秋田県,秋田県,,02,決算収支の状況,02,令和5年度,617448721,599529541,17919180,7703698,10215482,-4621938,7201356,0,4310688,-1731270
2024,62,060003,山形県,山形県,,02,決算収支の状況,02,令和5年度,676811593,664557243,12254350,6102479,6151871,-2055318,4104452,2830053,55126,4824061
2024,62,070009,福島県,福島県,,02,決算収支の状況,02,令和5年度,1257263227,1224298248,32964979,25263354,7701625,-945556,7761288,0,11918426,-5102694
2024,62,080004,茨城県,茨城県,,02,決算収支の状況,02,令和5年度,1259006243,1220658113,38348130,16877735,21470395,1473702,18683267,16707900,28160070,8704799
2024,62,090000,栃木県,栃木県,,02,決算収支の状況,02,令和5年度,931727812,912533087,19194725,9143354,10051371,-10973002,17404512,0,4230917,2200593
2024,62,100005,群馬県,群馬県,,02,決算収支の状況,02,令和5年度,904925531,886922117,18003414,7746701,10256713,-21393969,27450798,0,0,6056829
2024,62,110001,埼玉県,埼玉県,,02,決算収支の状況,02,令和5年度,2102354725,2059405178,42949547,7901765,35047782,-5961837,45250063,10000000,25355000,23933226
2024,62,120006,千葉県,千葉県,,02,決算収支の状況,02,令和5年度,2045562522,2011231816,34330706,19475839,14854867,-732074,3202164,34812,0,2504902
2024,62,130001,東京都,東京都,,02,決算収支の状況,02,令和5年度,8898726626,8353285707,545440919,259781199,285659720,-1066896,48753101,0,66276794,-18590589
2024,62,140007,神奈川県,神奈川県,,02,決算収支の状況,02,令和5年度,2251237949,2207423640,43814309,20876468,22937841,-3792639,4706940,0,439,913862
2024,62,150002,新潟県,新潟県,,02,決算収支の状況,02,令和5年度,1148075153,1122782289,25292864,12158844,13134020,-6150802,20206948,0,17500000,-3443854
2024,62,160008,富山県,富山県,,02,決算収支の状況,02,令和5年度,617351150,588990295,28360855,26983587,1377268,211573,180070,1597414,1064955,924102
2024,62,170003,石川県,石川県,,02,決算収支の状況,02,令和5年度,693732898,652501500,41231398,38495748,2735650,870290,8717656,0,7700000,1887946
2024,62,180009,福井県,福井県,,02,決算収支の状況,02,令和5年度,539080066,523817438,15262628,8553596,6709032,-2449667,1000458,0,0,-1449209
2024,62,190004,山梨県,山梨県,,02,決算収支の状況,02,令和5年度,573586922,544039848,29547074,23552725,5994349,-4130845,10185,3000000,0,-1120660
